RESULTS OF COMBINATION NUMBER: 1;;
FILESIZE: 6291456 BLOCKSIZE: 3145728 NUM OF ITERACTION: 2;;
0;0,310596;0,0214151
1;0,211854;0,0224512
2;0,198963;0,0215572
3;0,189067;0,0213712
4;0,189089;0,0216092
5;0,189022;0,0215299
6;0,189216;0,0216373
7;0,189105;0,0227783
8;0,18788;0,021383
9;0,189106;0,0216473
10;0,189044;0,0215555
11;0,189104;0,0217723
12;0,200192;0,02151
13;0,188852;0,0216345
14;0,200095;0,0216315
15;0,189279;0,0215327
16;0,189108;0,0321551
17;0,189416;0,0216846
18;0,21109;0,0217519
19;0,188961;0,021616
20;0,189046;0,0217419
21;0,189095;0,0215272
22;0,18897;0,0216443
23;0,188971;0,0215715
24;0,189048;0,0215947
25;0,189064;0,0216907
26;0,211162;0,0216122
27;0,189053;0,0217998
28;0,188805;0,0215263
29;0,189354;0,0215394
30;0,189717;0,0216225
31;0,188247;0,0216334
32;0,188943;0,0217066
33;0,189179;0,0217108
34;0,188762;0,0216444
35;0,200179;0,0214496
36;0,189085;0,0217464
37;0,188973;0,021581
38;0,189223;0,0213956
39;0,200182;0,022379
40;0,188208;0,0216245
41;0,189336;0,0215589
42;0,188926;0,0215272
43;0,188998;0,0216062
44;0,189135;0,021514
45;0,189043;0,0216641
46;0,211253;0,0222878
47;0,199354;0,0216725
48;0,189115;0,0216033
RESULTS OF COMBINATION NUMBER: 2;;
FILESIZE: 6291456 BLOCKSIZE: 1048576 NUM OF ITERACTION: 6;;
0;0,223754;0,027729
1;0,227409;0,0273325
2;0,227647;0,0275642
3;0,227464;0,0276533
4;0,238593;0,0290373
5;0,2259;0,0280122
6;0,226953;0,0283039
7;0,252094;0,02804
8;0,223639;0,0282799
9;0,260878;0,0278141
10;0,326338;0,0277311
11;0,304977;0,0280044
12;0,23811;0,0279668
13;0,238015;0,0317457
14;0,369498;0,0656487
15;0,231682;0,0294634
16;0,259073;0,028528
17;0,237682;0,0282589
18;0,237566;0,028608
19;0,248477;0,0282312
20;0,237988;0,0280275
21;0,293865;0,0289664
22;0,226059;0,0451435
23;0,266202;0,0371871
24;0,272004;0,0283185
25;0,237921;0,028764
26;0,259742;0,0294338
27;0,259058;0,0317956
28;0,267201;0,0307624
29;0,25745;0,0280965
30;0,22674;0,0280592
31;0,226964;0,0284644
32;0,226531;0,0281041
33;0,249517;0,0288731
34;0,259159;0,0284244
35;0,22657;0,0282329
36;0,226831;0,0289323
37;0,248373;0,0293166
38;0,258878;0,0275625
39;0,283246;0,0288824
40;0,281546;0,0288207
41;0,281612;0,0285808
42;0,251525;0,0650367
43;0,24236;0,028032
44;0,226978;0,0285142
45;0,226692;0,0282133
46;0,226815;0,0279105
47;0,238283;0,0278642
48;0,249366;0,0278935
RESULTS OF COMBINATION NUMBER: 3;;
FILESIZE: 6291456 BLOCKSIZE: 512000 NUM OF ITERACTION: 12;;
0;0,345368;0,0578914
1;0,352311;0,0365476
2;0,373695;0,0360852
3;0,352222;0,0362038
4;0,373968;0,0360691
5;0,3633;0,0360143
6;0,374368;0,036359
7;0,374071;0,0368173
8;0,373448;0,0361402
9;0,474099;0,036538
10;0,362743;0,0369281
11;0,351251;0,0369234
12;0,384728;0,0364402
13;0,351574;0,0358872
14;0,35222;0,0361396
15;0,351841;0,0366402
16;0,36272;0,0360046
17;0,37447;0,0362492
18;0,351729;0,0362464
19;0,351928;0,0358233
20;0,352333;0,035853
21;0,352281;0,0360809
22;0,351916;0,0359241
23;0,352398;0,0359774
24;0,352157;0,0371511
25;0,350985;0,0365371
26;0,351601;0,036176
27;0,374152;0,0363532
28;0,369925;0,0362066
29;0,355967;0,0363775
30;0,35195;0,036453
31;0,351641;0,0361887
32;0,363247;0,0362809
33;0,35179;0,036771
34;0,373541;0,0362034
35;0,374182;0,0365752
36;0,351619;0,0360853
37;0,396315;0,0364977
38;0,351853;0,0364836
39;0,351633;0,0358974
40;0,352302;0,0365095
41;0,351476;0,0367415
42;0,373739;0,0361289
43;0,362929;0,0364674
44;0,35199;0,0513685
45;0,358652;0,0369561
46;0,351375;0,0364667
47;0,35172;0,0361104
48;0,352145;0,0363989
